rolling,threshold,cost,sharpe,max_drawdown,total_return,final_equity
10,1.0,0.0,0.2872663121178584,-0.32982802040364545,0.6606875172679598,1.6606875172679598
10,1.0,0.0005,-0.24087503112102687,-0.6555171683906388,-0.5499010812550618,0.4500989187449383
10,1.5,0.0,0.21442589506806592,-0.4376496526336233,0.31558844988373136,1.3155884498837314
10,1.5,0.0005,-0.40209620738487606,-0.6603994110056218,-0.5535453957327221,0.44645460426727795
10,2.0,0.0,0.27414463160624364,-0.13038984168657042,0.2991741658641853,1.2991741658641853
10,2.0,0.0005,-0.1847765297318184,-0.31017870927321456,-0.21516378623921073,0.7848362137607893
20,1.0,0.0,0.04049888752526827,-0.39981573103971524,-0.09576967546193438,0.9042303245380656
20,1.0,0.0005,-0.3164926912788748,-0.6943876968622296,-0.624191389552367,0.37580861044763303
20,1.5,0.0,0.28260214139898143,-0.30768479040886987,0.5106426958896604,1.5106426958896604
20,1.5,0.0005,-0.1359969672846346,-0.5444535182750547,-0.30811842440087356,0.6918815755991264
20,2.0,0.0,0.33157872491321017,-0.2620088582081006,0.4275311680833729,1.4275311680833729
20,2.0,0.0005,-0.03350304994843628,-0.3485260115547062,-0.08567213923389005,0.91432786076611
30,1.0,0.0,0.008063274786340157,-0.36927254348621297,-0.17751366660923895,0.822486333390761
30,1.0,0.0005,-0.2746939656109602,-0.6359537787404569,-0.5997187268830582,0.4002812731169419
30,1.5,0.0,0.09437515894383171,-0.2651985711549528,0.060968101149764475,1.0609681011497645
30,1.5,0.0005,-0.22989590961561188,-0.5192993018825692,-0.43229615433600976,0.5677038456639902
30,2.0,0.0,0.5062154847198652,-0.1417348372140107,0.7867752008018154,1.7867752008018154
30,2.0,0.0005,0.1735914740583508,-0.2550840706552546,0.18004864847884572,1.1800486484788457
50,1.0,0.0,-0.19720762501315423,-0.6031807299629859,-0.4968594184206262,0.5031405815793738
50,1.0,0.0005,-0.40576501135889304,-0.7245278636232009,-0.6989602078716478,0.3010397921283522
50,1.5,0.0,-0.17061684391139764,-0.50256301113232,-0.35754194521902105,0.642458054780979
50,1.5,0.0005,-0.42382055000294355,-0.65616370758207,-0.6030081475434587,0.39699185245654134
50,2.0,0.0,0.2844492799774535,-0.13806582886229546,0.3640286996090776,1.3640286996090776
50,2.0,0.0005,0.02257596412751459,-0.2683419001260172,-0.024301062882043367,0.9756989371179566
